"MDS1","MDS2","MDS3","Sample_ID","site_sp","species"
-0.07988495991418454,-0.09615995507180286,0.10451798267146976,"QS_site100_Fejervarya multistriata","QS_site100_Fejervarya multistriata","Fejervarya_multistriata"
-0.024454300445376043,-0.11304079770530666,0.04375276657378994,"QS_site100_Bufo gargarizans","QS_site100_Bufo gargarizans","Bufo_gargarizans"
0.05444300551741682,-0.032101082648819466,-0.18594000459498508,"TH_site111_Fejervarya multistriata","TH_site111_Fejervarya multistriata","Fejervarya_multistriata"
-0.34831092139741837,0.3199846132709478,-0.20945288056743167,"TH_site111_Pelophylax plancyi","TH_site111_Pelophylax plancyi","Pelophylax_plancyi"
-0.14667362024572328,0.2415095081684482,-0.05225328999359746,"TH_site111_Pelophylax nigromaculatus","TH_site111_Pelophylax nigromaculatus","Pelophylax_nigromaculatus"
-0.10285346021774511,0.0638270403632261,-0.03374313790524768,"TH_site108_Fejervarya multistriata","TH_site108_Fejervarya multistriata","Fejervarya_multistriata"
0.1454233630938064,0.03253746949674432,-0.022793782234759058,"TH_site108_Pelophylax nigromaculatus","TH_site108_Pelophylax nigromaculatus","Pelophylax_nigromaculatus"
-0.0067054874515938175,0.05146479109585311,-0.004339377056351762,"XCT_site126_Fejervarya multistriata","XCT_site126_Fejervarya multistriata","Fejervarya_multistriata"
-0.07124160461692135,-0.05066034719686524,0.06534315572095206,"XCT_site126_Pelophylax plancyi","XCT_site126_Pelophylax plancyi","Pelophylax_plancyi"
0.08255918523194287,0.11570353493651221,-0.05634508129732956,"XCT_site126_Microhyla fissipes","XCT_site126_Microhyla fissipes","Microhyla_fissipes"
0.07361690008054611,0.06796076677473732,-0.006148720345234399,"XCT_site126_Bufo gargarizans","XCT_site126_Bufo gargarizans","Bufo_gargarizans"
0.15898024741372765,0.06417864327004355,-0.07543016747204125,"XCT_site126_Lithobates catesbeianus","XCT_site126_Lithobates catesbeianus","Lithobates_catesbeianus"
-0.14183867407426798,-0.06488565277381132,-0.07887390841114501,"XS_site128_Fejervarya multistriata","XS_site128_Fejervarya multistriata","Fejervarya_multistriata"
0.018958297256146756,-0.1276637635688837,-0.0354324955182854,"XS_site128_Microhyla fissipes","XS_site128_Microhyla fissipes","Microhyla_fissipes"
0.06196149093676103,-0.13938223527662966,-0.13165727770017976,"XS_site128_Lithobates catesbeianus","XS_site128_Lithobates catesbeianus","Lithobates_catesbeianus"
-0.041651319748521376,-0.0726548793401038,-0.11574871828458376,"XZ_site124_Microhyla fissipes","XZ_site124_Microhyla fissipes","Microhyla_fissipes"
-0.10308193712189326,0.046460521975177735,-0.16292423577792123,"XZ_site124_Fejervarya multistriata","XZ_site124_Fejervarya multistriata","Fejervarya_multistriata"
-0.08184867408457328,-2.9917634977386803e-4,0.029939588619158866,"XZ_site120_Microhyla fissipes","XZ_site120_Microhyla fissipes","Microhyla_fissipes"
-0.13293644547741396,0.022426354494548252,-0.15471767962486543,"XZ_site120_Fejervarya multistriata","XZ_site120_Fejervarya multistriata","Fejervarya_multistriata"
0.010188247576604161,-0.12359210056765818,-0.1379706385729899,"XZ_site122_Fejervarya multistriata","XZ_site122_Fejervarya multistriata","Fejervarya_multistriata"
-0.18160784710242922,-0.02858964204632714,-0.07618518627513134,"XZ_site122_Microhyla fissipes","XZ_site122_Microhyla fissipes","Microhyla_fissipes"
-0.13903951479962903,-0.07619936554550341,-0.1063676524975997,"XZ_site121_Fejervarya multistriata","XZ_site121_Fejervarya multistriata","Fejervarya_multistriata"
-0.10387656047741887,0.0026521502350855086,-0.11757590869265297,"XZ_site121_Microhyla fissipes","XZ_site121_Microhyla fissipes","Microhyla_fissipes"
-0.09481808256261931,-0.09442010862293772,0.001023504971007844,"XZ_site119_Fejervarya multistriata","XZ_site119_Fejervarya multistriata","Fejervarya_multistriata"
-0.027015674081056977,-0.1729315312534063,0.007534257587297821,"XZ_site119_Pelophylax nigromaculatus","XZ_site119_Pelophylax nigromaculatus","Pelophylax_nigromaculatus"
-0.05387359113607944,-0.10947353837149787,-0.007716634319343982,"XZ_site119_Lithobates catesbeianus","XZ_site119_Lithobates catesbeianus","Lithobates_catesbeianus"
0.027808876160278734,-0.03814755730267182,0.07714488918794357,"DS_site016_Fejervarya multistriata","DS_site016_Fejervarya multistriata","Fejervarya_multistriata"
0.0677877783303366,0.007185906792205306,0.07053937207233352,"DS_site016_Microhyla fissipes","DS_site016_Microhyla fissipes","Microhyla_fissipes"
0.07209961941533566,-0.02652405943780899,0.03776518552250336,"DS_site016_Lithobates catesbeianus","DS_site016_Lithobates catesbeianus","Lithobates_catesbeianus"
-0.015347214762979676,-0.09429868005076358,0.02116150924534244,"DS_site022_Fejervarya multistriata","DS_site022_Fejervarya multistriata","Fejervarya_multistriata"
0.06051353269722591,0.039180473633101835,0.08703743681498484,"DS_site022_Microhyla fissipes","DS_site022_Microhyla fissipes","Microhyla_fissipes"
-0.014490103868306512,0.1006433902154947,-0.06855820314432047,"DS_site022_Rana zhenhaiensis","DS_site022_Rana zhenhaiensis","Rana_zhenhaiensis"
0.03791006145996883,-0.041231837030702836,-0.11273110019885958,"DS_site020_Fejervarya multistriata","DS_site020_Fejervarya multistriata","Fejervarya_multistriata"
0.054690888856164965,-0.05107249465141882,-0.03749915622789512,"DS_site020_Bufo gargarizans","DS_site020_Bufo gargarizans","Bufo_gargarizans"
