pond_code,species,prey_no,scaled.breadth,invasion
ZJJ_site165,Fejervarya_multistriata,15,0.3374 ,N
ZJJ_site165,Hylarana_latouchii,8,0.1884 ,N
ZJJ_site165,Microhyla_fissipes,5,0.0786 ,N
XS_site129,Bufo_gargarizans,3,0.0000 ,N
XS_site129,Fejervarya_multistriata,17,1.0000 ,N
XS_site130,Fejervarya_multistriata,15,0.4000 ,Y
XS_site130,Microhyla_fissipes,6,0.2500 ,Y
ZSM_site151,Bufo_gargarizans,14,NA,N
ZSM_site151,Fejervarya_multistriata,16,NA,N
ZSM_site151,Microhyla_fissipes,23,NA,N
ZSM_site144,Fejervarya_multistriata,3,NA,Y
ZSM_site144,Lithobates_catesbeianus,4,NA,Y
ZSM_site144,Polypedates_megacephalus,2,NA,Y
ZSM_site144,Rana_zhenhaiensis,3,NA,Y
ZSM_site149,Fejervarya_multistriata,9,NA,Y
ZSM_site149,Lithobates_catesbeianus,5,NA,Y
ZSM_site149,Pelophylax_nigromaculatus,3,NA,Y
ZSM_site149,Polypedates_megacephalus,4,NA,Y
ZSM_site150,Bufo_gargarizans,7,NA,Y
ZSM_site150,Fejervarya_multistriata,5,NA,Y
ZSM_site150,Polypedates_megacephalus,1,NA,Y
ZJJ_site164,Bufo_gargarizans,8,0.2630 ,N
ZJJ_site164,Fejervarya_multistriata,9,0.3032 ,N
ZJJ_site164,Hyla_chinensis,9,0.2659 ,N
ZJJ_site164,Pelophylax_nigromaculatus,4,0.1286 ,N
ZJJ_site164,Rana_zhenhaiensis,4,0.1392 ,N
LH_site069,Fejervarya_multistriata,5,0.3967 ,Y
LH_site069,Microhyla_fissipes,7,0.6112 ,Y
LH_site069,Rana_zhenhaiensis,2,0.0940 ,Y
LH_site071,Fejervarya_multistriata,8,0.3744 ,Y
LH_site071,Lithobates_catesbeianus,4,0.1630 ,Y
LH_site071,Pelophylax_nigromaculatus,8,0.3451 ,Y
LH_site063,Microhyla_fissipes,7,0.5714 ,N
LH_site063,Rana_zhenhaiensis,3,0.2667 ,N
YS_site137,Fejervarya_multistriata,5,0.0000 ,N
YS_site137,Rana_zhenhaiensis,6,0.0000 ,N
XZ_site118,Fejervarya_multistriata,3,0.0000 ,N
XZ_site118,Pelophylax_nigromaculatus,4,0.0000 ,N
XCT_site127,Bufo_gargarizans,10,0.5909 ,N
XCT_site127,Rana_zhenhaiensis,8,0.4432 ,N
QS_site097,Bufo_gargarizans,6,0.0985 ,N
QS_site097,Fejervarya_multistriata,12,0.6647 ,N
QS_site097,Rana_zhenhaiensis,10,0.5166 ,N
QS_site101,Bufo_gargarizans,14,0.4208 ,N
QS_site101,Fejervarya_multistriata,6,0.2582 ,N
QS_site101,Rana_zhenhaiensis,4,0.1723 ,N
DYS_site014,Bufo_gargarizans,3,0.0000 ,N
DYS_site014,Fejervarya_multistriata,9,1.0000 ,N
JP_site056,Bufo_gargarizans,5,0.2029 ,N
JP_site056,Fejervarya_multistriata,9,0.4350 ,N
JP_site056,Rana_zhenhaiensis,5,0.2633 ,N
SJ_site106,Bufo_gargarizans,6,1.0000 ,N
SJ_site106,Fejervarya_multistriata,2,0.0000 ,N
ZJJ_site167,Bufo_gargarizans,12,0.4071 ,N
ZJJ_site167,Fejervarya_multistriata,16,0.7125 ,N
SS_site103,Bufo_gargarizans,8,0.0858 ,N
SS_site103,Fejervarya_multistriata,18,0.0926 ,N
SS_site104,Bufo_gargarizans,29,0.2996 ,N
SS_site104,Fejervarya_multistriata,9,0.1270 ,N
SS_site104,Rana_zhenhaiensis,5,0.0735 ,N
GQ_site054,Bufo_gargarizans,13,0.3524 ,N
GQ_site054,Fejervarya_multistriata,17,0.4235 ,N
LJZ_site077,Bufo_gargarizans,11,0.1449 ,N
LJZ_site077,Fejervarya_multistriata,29,0.3157 ,N
LJZ_site077,Pelophylax_plancyi,13,0.1478 ,N
JT_site060,Bufo_gargarizans,17,0.1538 ,N
JT_site060,Fejervarya_multistriata,6,0.0799 ,N
JT_site060,Pelophylax_nigromaculatus,2,0.0282 ,N
JT_site060,Pelophylax_plancyi,14,0.1455 ,N
JT_site060,Rana_zhenhaiensis,13,0.1872 ,N
JT_site058,Bufo_gargarizans,4,0.0755 ,N
JT_site058,Fejervarya_multistriata,15,0.1843 ,N
JT_site058,Pelophylax_nigromaculatus,5,0.0762 ,N
JT_site058,Rana_zhenhaiensis,24,0.2186 ,N
CZ_site142,Bufo_gargarizans,10,0.1234 ,N
CZ_site142,Fejervarya_multistriata,18,0.2088 ,N
CZ_site142,Pelophylax_nigromaculatus,13,0.1165 ,N
CZ_site142,Rana_zhenhaiensis,9,0.1174 ,N
